file_name,file_code
000000.png,30000
000001.png,24000
000002.png,15000
000003.png,27000
000004.png,10000
000005.png,20000
000006.png,24000
000007.png,15000
000008.png,17000
000009.png,10000
000010.png,30000
000011.png,10000
000012.png,20000
000013.png,20000
000014.png,20000
000015.png,10000
000016.png,10000
000017.png,20000
000018.png,25000
000019.png,10000
000020.png,22000
000021.png,15000
000022.png,28000
000023.png,10000
000024.png,20000
000025.png,10000
000026.png,17000
000027.png,37000
000028.png,29000
000029.png,12000
000030.png,24000
000031.png,25000
000032.png,20000
000033.png,20000
000034.png,17000
000035.png,20000
000036.png,20000
000037.png,12000
000038.png,15000
000039.png,27000
000040.png,24000
000041.png,25000
000042.png,22000
000043.png,20000
000044.png,10000
000045.png,10000
000046.png,28000
000047.png,20000
000048.png,20000
000049.png,40000
000050.png,33000
000051.png,25000
000052.png,20000
000053.png,10800
000054.png,25000
000055.png,20000
000056.png,36000
000057.png,20000
000058.png,25000
000059.png,20000
000060.png,15000
000061.png,10000
000062.png,20000
000063.png,20000
000064.png,20000
000065.png,15000
000066.png,15000
000067.png,50000
000068.png,23000
000069.png,15000
000070.png,20000
000071.png,20000
000072.png,10000
000073.png,39000
000074.png,17000
000075.png,17000
000076.png,20000
000077.png,10000
000078.png,30000
000079.png,17000
000080.png,15000
000081.png,15000
000082.png,15000
000083.png,29000
000084.png,40000
000085.png,10000
000086.png,10000
000087.png,20000
000088.png,22000
000089.png,17000
000090.png,20000
000091.png,15000
000092.png,37000
000093.png,20000
000094.png,20000
000095.png,20000
000096.png,28000
000097.png,10000
000098.png,10000
000099.png,20000
000100.png,25000
000101.png,12000
000102.png,10000
000103.png,10000
000104.png,25000
000105.png,20000
000106.png,51000
000107.png,25000
000108.png,30000
000109.png,10000
000110.png,20000
000111.png,29000
000112.png,20000
000113.png,38000
000114.png,20000
000115.png,27000
000116.png,10000
000117.png,10000
000118.png,17000
000119.png,20000
000120.png,10000
000121.png,35000
000122.png,22000
000123.png,20000
000124.png,15000
000125.png,25000
000126.png,24400
000127.png,10000
000128.png,10000
000129.png,23000
000130.png,10000
000131.png,20000
000132.png,20000
000133.png,20000
000134.png,20000
000135.png,30000
000136.png,20000
000137.png,20000
000138.png,15000
000139.png,27000
000140.png,17000
000141.png,20000
000142.png,15000
000143.png,20000
000144.png,20000
000145.png,20000
000146.png,20000
000147.png,20000
000148.png,10000
000149.png,26000
000150.png,20000
000151.png,10000
000152.png,33000
000153.png,20000
000154.png,20000
000155.png,20000
000156.png,35000
000157.png,20000
000158.png,25000
000159.png,10000
000160.png,25000
000161.png,30000
000162.png,12000
000163.png,20000
000164.png,20000
000165.png,20000
000166.png,20000
000167.png,10000
000168.png,20000
000169.png,10000
000170.png,20000
000171.png,29000
000172.png,30000
000173.png,25000
000174.png,12000
000175.png,10000
000176.png,20000
000177.png,23000
000178.png,10000
000179.png,25000
000180.png,25000
000181.png,10000
000182.png,10000
000183.png,20000
000184.png,20000
000185.png,10000
000186.png,20000
000187.png,10000
000188.png,21000
000189.png,20000
000190.png,20000
000191.png,20000
000192.png,10000
000193.png,20000
000194.png,15000
000195.png,10000
000196.png,17000
000197.png,10000
000198.png,25000
000199.png,20000
000200.png,20000
000201.png,20000
000202.png,25000
000203.png,20000
000204.png,12000
000205.png,12000
000206.png,12000
000207.png,20000
000208.png,61000
000209.png,20000
000210.png,15000
000211.png,20000
000212.png,22000
000213.png,25000
000214.png,10000
000215.png,17000
000216.png,48000
000217.png,10000
000218.png,10000
000219.png,10000
000220.png,20000
000221.png,60000
000222.png,20000
000223.png,20000
000224.png,20000
000225.png,10000
000226.png,20000
000227.png,15000
000228.png,14000
000229.png,80000
000230.png,20100
000231.png,20000
000232.png,23000
000233.png,25000
000234.png,12000
000235.png,15000
000236.png,10000
000237.png,20000
000238.png,20000
000239.png,28000
000240.png,12000
000241.png,37000
000242.png,15000
000243.png,25000
000244.png,10000
000245.png,15000
000246.png,27000
000247.png,25000
000248.png,35000
000249.png,10000
000250.png,27000
000251.png,20000
000252.png,30000
000253.png,25000
000254.png,20000
000255.png,25000
000256.png,20000
000257.png,25000
000258.png,10000
000259.png,11000
000260.png,26000
000261.png,10000
000262.png,15000
000263.png,20000
000264.png,20000
000265.png,25000
000266.png,22000
000267.png,20000
000268.png,20000
000269.png,20000
